frame,common_gt_count,det_pred_count,seg_pred_count,det_count_error_commonGT,seg_count_error_commonGT,det_abs_count_error_commonGT,seg_abs_count_error_commonGT,det_gt_box_occupancy,det_pred_box_occupancy,det_abs_box_occupancy_error,seg_gt_mask_occupancy,seg_pred_mask_occupancy,seg_abs_mask_occupancy_error
00061,6,4,5,-2,-1,2,1,0.23530279443999996,0.247872468299,0.012569673859000041,0.11137128897741055,0.1135808453129999,0.0022095563355893494
00062,5,4,5,-1,0,1,0,0.238725397479,0.23846125406900004,0.0002641434099999729,0.10935185193221975,0.11781244947900052,0.008460597546780774
00063,5,4,4,-1,-1,1,1,0.208010108626,0.24134057834,0.033330469714,0.11662447115171959,0.1087261700522498,0.00789830109946979
00064,5,4,5,-1,0,1,0,0.211888161712,0.243929224622,0.03204106291,0.11624156231484473,0.13552953436950027,0.019287972054655544
00065,5,3,4,-2,-1,2,1,0.225704865047,0.19612367194799998,0.029581193099000008,0.11463011317753224,0.11347006137149983,0.0011600518060324166
00066,5,3,4,-2,-1,2,1,0.228180653297,0.19898166674700002,0.029198986549999972,0.12402585160913071,0.09822692751550045,0.025798924093630257
00067,6,4,6,-2,0,2,0,0.238834091971,0.30542066310500005,0.06658657113400004,0.11686559860508547,0.15685739349025024,0.03999179488516477
00068,6,4,8,-2,2,2,2,0.267060026651,0.327707278727,0.060647252076000024,0.12428578483565395,0.21419915633625036,0.08991337150059642
00069,6,5,3,-1,-3,1,3,0.300499829275,0.39230519163109995,0.09180536235609993,0.1369167127981782,0.12140615894174976,0.015510553856428425
00070,5,4,7,-1,2,1,2,0.301162910414,0.361367771031,0.06020486061699998,0.14815248962280717,0.2694945020870002,0.12134201246419304
00071,5,6,4,1,-1,1,1,0.32294958837500004,0.36629664415800006,0.04334705578300002,0.1506401909940462,0.14453986449475012,0.006100326499296094
00072,5,7,4,2,-1,2,1,0.336125052486,0.5376220412116,0.20149698872559996,0.14135536987064945,0.14122170225949995,0.0001336676111494961
00073,5,6,6,1,1,1,1,0.343967579972,0.4358849892800001,0.09191740930800008,0.1620910513268956,0.23978519661274977,0.07769414528585417
00074,6,3,5,-3,-1,3,1,0.343763608795,0.276324832262,0.06743877653300001,0.15878809709911446,0.19250007525924984,0.03371197816013538
00075,6,4,5,-2,-1,2,1,0.301205295183,0.39269105444999997,0.09148575926699998,0.19060835728624337,0.1818663593767501,0.00874199790949326
00076,6,5,5,-1,-1,1,1,0.306146897033,0.518515693604,0.21236879657099994,0.18135368723622944,0.18862179808950055,0.007268110853271115
00077,6,6,6,0,0,0,0,0.31047865923100004,0.5429097998319999,0.2324311406009999,0.1808632315576366,0.19151256553825005,0.010649333980613462
00078,6,5,8,-1,2,1,2,0.319805915984,0.47819931329700005,0.15839339731300006,0.18242380471819414,0.265811561807499,0.08338775708930485
00079,6,5,8,-1,2,1,2,0.29434278484400006,0.40000550068800006,0.105662715844,0.18823978221721438,0.21891941823025074,0.03067963601303636
00080,6,5,7,-1,1,1,1,0.325257264258,0.434302159137,0.10904489487899999,0.17457393046754524,0.1853447545117502,0.010770824044204957
00081,6,5,7,-1,1,1,1,0.332182630949,0.458807584272,0.126624953323,0.13619839796681932,0.2353253885432496,0.09912699057643029
