frame_index,count,mask_occupancy,count_delta,status,events
129,4,0.05659722222222244,2,NORMAL,
130,5,0.06342230902777775,1,NORMAL,
131,4,0.055323350694444766,-1,NORMAL,
132,5,0.0542730034722223,1,NORMAL,
133,4,0.046477864583333604,-1,NORMAL,
134,3,0.040807291666666655,-1,NORMAL,
135,3,0.04153862847222212,0,NORMAL,
136,4,0.05139539930555581,1,NORMAL,
137,3,0.05475260416666674,-1,NORMAL,
138,3,0.06308376736111095,0,NORMAL,
139,4,0.08669921874999989,1,NORMAL,
140,3,0.0591753472222221,-1,NORMAL,
141,4,0.06388020833333315,1,NORMAL,
142,5,0.06834635416666678,1,NORMAL,
143,5,0.06995876736111087,0,NORMAL,
144,3,0.06486328124999999,-2,NORMAL,
145,4,0.0690885416666668,1,NORMAL,
146,3,0.07451388888888905,-1,NORMAL,
147,3,0.07220703124999989,0,NORMAL,
148,3,0.07551215277777779,0,NORMAL,
149,3,0.07919704861111086,0,NORMAL,
150,3,0.0812478298611106,0,NORMAL,
151,3,0.07778428819444452,0,NORMAL,
152,4,0.08053168402777769,1,NORMAL,
153,4,0.07563802083333307,0,NORMAL,
154,4,0.08271484374999999,0,NORMAL,
155,3,0.0783550347222225,-1,NORMAL,
156,4,0.08852430555555574,1,NORMAL,
157,4,0.09071831597222224,0,NORMAL,
158,5,0.09666883680555549,1,NORMAL,
159,4,0.09064453125000008,-1,NORMAL,
160,5,0.10981987847222208,1,NORMAL,
161,5,0.10214843750000013,0,NORMAL,
162,5,0.090412326388889,0,NORMAL,
163,4,0.08860677083333354,-1,NORMAL,
164,5,0.11176649305555533,1,NORMAL,
165,5,0.1160026041666665,0,NORMAL,
166,5,0.11254340277777762,0,NORMAL,
167,7,0.14124565972222225,2,NORMAL,
168,6,0.14300130208333311,-1,NORMAL,
169,3,0.10603081597222187,-3,NORMAL,
170,5,0.1321180555555554,2,NORMAL,
171,5,0.13343750000000054,0,NORMAL,
172,5,0.12754123263888922,0,NORMAL,
173,6,0.1326258680555557,1,NORMAL,
174,5,0.11902777777777798,-1,NORMAL,
175,7,0.14340928819444443,2,NORMAL,
176,7,0.14764539930555526,0,NORMAL,
177,3,0.0964214409722221,-4,ALERT,SUDDEN_COUNT_DECREASE
178,8,0.14390625000000007,5,ALERT,SUDDEN_COUNT_INCREASE
179,7,0.13418619791666583,-1,NORMAL,
180,7,0.14569010416666697,0,NORMAL,
181,9,0.15831380208333323,2,ALERT,HIGH_DENSITY
182,8,0.15891493055555514,-1,NORMAL,
183,8,0.16512586805555557,0,NORMAL,
184,7,0.16707465277777742,-1,NORMAL,
