frame_index,event_type,count,mask_occupancy,count_delta
323,EMPTY_SCENE,0,0.0,0
324,EMPTY_SCENE,0,0.0,0
325,EMPTY_SCENE,0,0.0,0
326,EMPTY_SCENE,0,0.0,0
327,EMPTY_SCENE,0,0.0,0
328,EMPTY_SCENE,0,0.0,0
329,EMPTY_SCENE,0,0.0,0
330,EMPTY_SCENE,0,0.0,0
331,EMPTY_SCENE,0,0.0,0
332,EMPTY_SCENE,0,0.0,0
333,EMPTY_SCENE,0,0.0,0
334,EMPTY_SCENE,0,0.0,0
335,EMPTY_SCENE,0,0.0,0
336,EMPTY_SCENE,0,0.0,0
337,EMPTY_SCENE,0,0.0,0
338,EMPTY_SCENE,0,0.0,0
339,EMPTY_SCENE,0,0.0,0
340,EMPTY_SCENE,0,0.0,0
341,EMPTY_SCENE,0,0.0,0
342,EMPTY_SCENE,0,0.0,0
343,EMPTY_SCENE,0,0.0,0
344,EMPTY_SCENE,0,0.0,0
345,EMPTY_SCENE,0,0.0,0
346,EMPTY_SCENE,0,0.0,0
347,EMPTY_SCENE,0,0.0,0
348,EMPTY_SCENE,0,0.0,0
349,EMPTY_SCENE,0,0.0,0
350,EMPTY_SCENE,0,0.0,0
351,EMPTY_SCENE,0,0.0,0
352,EMPTY_SCENE,0,0.0,0
353,EMPTY_SCENE,0,0.0,0
354,EMPTY_SCENE,0,0.0,0
355,EMPTY_SCENE,0,0.0,0
356,EMPTY_SCENE,0,0.0,0
357,EMPTY_SCENE,0,0.0,0
358,EMPTY_SCENE,0,0.0,0
359,EMPTY_SCENE,0,0.0,0
360,EMPTY_SCENE,0,0.0,0
361,EMPTY_SCENE,0,0.0,0
362,EMPTY_SCENE,0,0.0,0
363,EMPTY_SCENE,0,0.0,0
364,EMPTY_SCENE,0,0.0,0
365,EMPTY_SCENE,0,0.0,0
366,EMPTY_SCENE,0,0.0,0
367,EMPTY_SCENE,0,0.0,0
368,EMPTY_SCENE,0,0.0,0
369,EMPTY_SCENE,0,0.0,0
370,EMPTY_SCENE,0,0.0,0
371,EMPTY_SCENE,0,0.0,0
372,EMPTY_SCENE,0,0.0,0
373,EMPTY_SCENE,0,0.0,0
374,EMPTY_SCENE,0,0.0,0
375,EMPTY_SCENE,0,0.0,0
376,EMPTY_SCENE,0,0.0,0
377,EMPTY_SCENE,0,0.0,0
378,EMPTY_SCENE,0,0.0,0
379,EMPTY_SCENE,0,0.0,0
380,EMPTY_SCENE,0,0.0,0
381,EMPTY_SCENE,0,0.0,0
382,EMPTY_SCENE,0,0.0,0
383,EMPTY_SCENE,0,0.0,0
384,EMPTY_SCENE,0,0.0,0
385,EMPTY_SCENE,0,0.0,0
386,EMPTY_SCENE,0,0.0,0
387,EMPTY_SCENE,0,0.0,0
388,EMPTY_SCENE,0,0.0,0
389,EMPTY_SCENE,0,0.0,0
390,EMPTY_SCENE,0,0.0,0
391,EMPTY_SCENE,0,0.0,0
392,EMPTY_SCENE,0,0.0,0
393,EMPTY_SCENE,0,0.0,0
394,EMPTY_SCENE,0,0.0,0
395,EMPTY_SCENE,0,0.0,0
396,EMPTY_SCENE,0,0.0,0
397,EMPTY_SCENE,0,0.0,0
398,EMPTY_SCENE,0,0.0,0
399,EMPTY_SCENE,0,0.0,0
400,EMPTY_SCENE,0,0.0,0
401,EMPTY_SCENE,0,0.0,0
402,EMPTY_SCENE,0,0.0,0
403,EMPTY_SCENE,0,0.0,0
404,EMPTY_SCENE,0,0.0,0
405,EMPTY_SCENE,0,0.0,0
406,EMPTY_SCENE,0,0.0,0
407,EMPTY_SCENE,0,0.0,0
408,EMPTY_SCENE,0,0.0,0
409,EMPTY_SCENE,0,0.0,0
410,EMPTY_SCENE,0,0.0,0
411,EMPTY_SCENE,0,0.0,0
